user;schema;privilege
centrallabcdwuser;centrallab;DELETE       
centrallabcdwuser;centrallab;INSERT       
centrallabcdwuser;centrallab;SELECT       
centrallabcdwuser;centrallab;TRUNCATE     
centrallabcdwuser;centrallab;UPDATE       
copracdwuser;copra;DELETE       
copracdwuser;copra;INSERT       
copracdwuser;copra;SELECT       
copracdwuser;copra;TRUNCATE     
copracdwuser;copra;UPDATE       
emergencydepartmentuser;aktin;DELETE       
emergencydepartmentuser;aktin;INSERT       
emergencydepartmentuser;aktin;SELECT       
emergencydepartmentuser;aktin;TRIGGER      
emergencydepartmentuser;aktin;TRUNCATE     
emergencydepartmentuser;aktin;UPDATE       
gtdscdwuser;gtds;DELETE       
gtdscdwuser;gtds;INSERT       
gtdscdwuser;gtds;SELECT       
gtdscdwuser;gtds;TRUNCATE     
gtdscdwuser;gtds;UPDATE       
imagiccdwuser;imagic;DELETE       
imagiccdwuser;imagic;INSERT       
imagiccdwuser;imagic;SELECT       
imagiccdwuser;imagic;TRUNCATE     
imagiccdwuser;imagic;UPDATE       
kisvendor;kis;DELETE       
kisvendor;kis;INSERT       
kisvendor;kis;REFERENCES   
kisvendor;kis;SELECT       
kisvendor;kis;TRUNCATE     
kisvendor;kis;UPDATE       
onlyreader;aktin;SELECT       
onlyreader;centrallab;SELECT       
onlyreader;copra;SELECT       
onlyreader;gtds;SELECT       
onlyreader;imagic;SELECT       
onlyreader;kis;SELECT       
onlyreader;metadata_repository;SELECT       
onlyreader;p21;SELECT       
p21user;p21;DELETE       
p21user;p21;INSERT       
p21user;p21;SELECT       
p21user;p21;TRIGGER      
p21user;p21;TRUNCATE     
p21user;p21;UPDATE       
replication_group;kis;DELETE       
replication_group;kis;INSERT       
replication_group;kis;REFERENCES   
replication_group;kis;SELECT       
replication_group;kis;TRIGGER      
replication_group;kis;TRUNCATE     
replication_group;kis;UPDATE       
