kis;NBEW;BWART
kis;NBEW;STATU
kis;NBEW;UNFKZ
kis;NBEW;ORGFA
kis;NBEW;ORGPF
kis;NBEW;ZIMMR
kis;NBEW;PLANR
kis;NBEW;ORGAU
kis;NBEW;EZUST
kis;NBEW;TODUR
kis;NBEW;BEKAT
kis;NBEW;STOID
kis;NBEW;DSPTY
kis;NBEW;VISTY
kis;NBEW;BWGR1
kis;NBEW;BWGR2
kis;NBEW;TPART
kis;NBEW;INSEV
kis;NBEW;OPART
kis;NBEW;CLASS
kis;NBEW;RFSRC
kis;NBEW;FACHR
kis;NBEW;UNFRT
kis;NBEW;UNFAV
kis;NDIA;DKAT1
kis;NDIA;DKEY1
kis;NDIA;DKAT2
kis;NDIA;DKEY2
kis;NDIA;DIASI
kis;NDIA;DIAPR
kis;NDIA;DIAGW
kis;NDIA;DIAZS
kis;NDIA;DIALO
kis;NDIA;DIAFP
kis;NDIA;DRG_CATEGORY
kis;NDIA;DTYP1
kis;NDIA;DTYP2
kis;NDIA;DTYPE_REF
kis;NFAL;EINRI
kis;NFAL;FALAR
kis;NFAL;PATNR
kis;NFAL;BEKAT
kis;NFAL;ABRKZ
kis;NFAL;STATU
kis;NFAL;FGTYP
kis;NFAL;FATYP
kis;NFAL;FACHR
kis;NFAL;ENDTYP
kis;NFAL;GWEIN
kis;NFAL;GREIN
kis;NICP;LNRIC
kis;NICP;ICPMK
kis;NICP;ICPML
kis;NICP;LSLOK
kis;NICP;OPART
kis;NICP;DRG_CATEGORY
kis;NICP;ORGFA
kis;NICP;ORGPF
kis;NICP;PRTYP
kis;NICP;UNIT
kis;NICP;CCL
kis;NORG;EINRI
kis;NORG;ORGID
kis;NORG;ORGTY
kis;NORG;ORGNA
kis;NORG;ORGKB
kis;NORG;OKURZ
kis;NORG;FACHR
kis;NORG;FACHR2
kis;NPAT;PATNR
kis;NPAT;TODUR
kis;NPAT;PSTLZ
kis;NPAT;RACE
kis;NORG;FACHR9
kis;NORG;FACHR1
kis;/HSROM/SCREENCOV;EINRI
kis;/HSROM/SCREENCOV;SCREENOPTION
kis;/HSROM/SCREENCOV;DISSCREENDLLENTRY
kis;/HSROM/SCREENCOV;DISSCREENRESULT
kis;/HSROM/SCREENCOV;SCREENTESTTYPE
kis;/HSROM/SCREENCOV;SCREENSTATE
kis;/HSROM/SCREENCOV;SCREENISO
kis;/HSROM/SCREENCOV;SCREENISOSTATE
kis;/HSROM/SCREENCOV;SCREENVACCSTAT
kis;/HSROM/SCREENCOV;SCREENVACCINE
kis;/HSROM/SCREENCOV;PATNR
kis;NPAT;GEBIE
kis;NPAT;RFPAT
kis;NPAT;SEX_SPECIAL
kis;NFAL;EINZG
kis;NICP;LNRIC_REF
kis;NPER;PERNR
kis;NV_PERIOD;EINRI
kis;NV_PERIOD;PATNR
kis;NV_PERIOD;FNAME
kis;NV_PERIOD;VALUE
kis;NV_PERIOD;PERIOD_BEM
kis;NPER;FACHR
kis;NPER;SPTYP
kis;NPAT;EINRI
kis;NPAT;STATU
kis;/HSROM/SCREENCOV;SCREENOTHERS
kis;NBEW;EINRI
kis;NBEW;BETT
kis;NDIA;EINRI
kis;NDIA;DKAT_REF
kis;NDIA;DKEY_REF
kis;NICP;EINRI
kis;NFPZ;EINRI
kis;NFPZ;PERNR
kis;NFPZ;FARZT
kis;NBAU;BAUID
kis;NBAU;BAUTY
kis;NBAU;BAUNA
kis;NBAU;BKURZ
kis;NBAU;BAUKB
kis;TN11H;UNTBE
kis;TN11H;UEBBE
kis;TN11H;UNTBT
kis;TN11H;UEBBT
kis;NORG;FACHR3
kis;NORG;FACHR4
kis;NORG;FACHR5
kis;NORG;FACHRA
kis;NORG;FACHRB
kis;NORG;FACHRC
kis;NORG;FACHR6
kis;NORG;FACHR7
kis;NORG;SLWRK
kis;NORG;SLLGO
kis;NORG;FACHRD
kis;TN10H;UNTOR
kis;TN10H;UEBOR
